id,post_id,timestamp,reaction_type,count,rn
2767555,1,2025-01-05 20:00:03.146852,⚡,2,1
2767552,1,2025-01-05 20:00:03.145426,❤,13,1
2767556,1,2025-01-05 20:00:03.147420,🏆,2,1
2767553,1,2025-01-05 20:00:03.145895,👍,12,1
2767557,1,2025-01-05 20:00:03.147982,👏,1,1
2767551,1,2025-01-05 20:00:03.144949,🔥,80,1
2767554,1,2025-01-05 20:00:03.146341,ReactionCustomEmoji(document_id=5449656926973469265),6,1
2767550,1,2025-01-05 20:00:03.144440,ReactionPaid(),3,1
2767563,2,2025-01-05 20:00:03.151603,🤩,2,1
2767560,2,2025-01-05 20:00:03.150239,❤,12,1
2767565,2,2025-01-05 20:00:03.152483,❤‍🔥,1,1
2767561,2,2025-01-05 20:00:03.150701,🏆,6,1
2767559,2,2025-01-05 20:00:03.149785,🔥,63,1
2767564,2,2025-01-05 20:00:03.152061,🦄,2,1
2767562,2,2025-01-05 20:00:03.151170,ReactionCustomEmoji(document_id=5460865799478593516),4,1
2767558,2,2025-01-05 20:00:03.149289,ReactionPaid(),6,1
2767576,3,2025-01-05 20:00:03.158488,⚡,1,1
2767570,3,2025-01-05 20:00:03.155831,❤,11,1
2767571,3,2025-01-05 20:00:03.156275,❤‍🔥,5,1
2767573,3,2025-01-05 20:00:03.157176,🏆,4,1
2767568,3,2025-01-05 20:00:03.154917,👍,52,1
2767574,3,2025-01-05 20:00:03.157613,💯,3,1
2767569,3,2025-01-05 20:00:03.155371,🔥,28,1
2767575,3,2025-01-05 20:00:03.158058,🦄,2,1
2767572,3,2025-01-05 20:00:03.156732,🆒,5,1
2767567,3,2025-01-05 20:00:03.154442,ReactionCustomEmoji(document_id=5348397248994617112),65,1
2767566,3,2025-01-05 20:00:03.153955,ReactionPaid(),3,1
2767582,4,2025-01-05 20:00:03.162257,⚡,1,1
2767579,4,2025-01-05 20:00:03.160910,❤,10,1
2767583,4,2025-01-05 20:00:03.162688,🎉,1,1
2767584,4,2025-01-05 20:00:03.163118,🏆,1,1
2767581,4,2025-01-05 20:00:03.161810,👍,3,1
2767578,4,2025-01-05 20:00:03.160412,🔥,38,1
2767585,4,2025-01-05 20:00:03.163550,🆒,1,1
2767580,4,2025-01-05 20:00:03.161355,ReactionCustomEmoji(document_id=5470076726212042350),8,1
2767577,4,2025-01-05 20:00:03.159967,ReactionPaid(),2,1
2767596,5,2025-01-05 20:00:03.169817,🤩,1,1
2767595,5,2025-01-05 20:00:03.169368,⚡,3,1
2767589,5,2025-01-05 20:00:03.166580,❤,16,1
2767597,5,2025-01-05 20:00:03.170262,🏆,1,1
2767593,5,2025-01-05 20:00:03.168468,🐳,4,1
2767587,5,2025-01-05 20:00:03.165634,👍,132,1
2767592,5,2025-01-05 20:00:03.168040,👏,4,1
2767588,5,2025-01-05 20:00:03.166106,🔥,46,1
2767591,5,2025-01-05 20:00:03.167548,🦄,5,1
2767594,5,2025-01-05 20:00:03.168938,🆒,4,1
2767590,5,2025-01-05 20:00:03.167075,ReactionCustomEmoji(document_id=5832562469821746227),15,1
2767586,5,2025-01-05 20:00:03.165198,ReactionPaid(),2,1
2767603,6,2025-01-05 20:00:03.173841,⚡,2,1
2767600,6,2025-01-05 20:00:03.172512,❤,22,1
2767604,6,2025-01-05 20:00:03.174280,❤‍🔥,2,1
2767599,6,2025-01-05 20:00:03.172053,👍,99,1
2767605,6,2025-01-05 20:00:03.174715,💯,2,1
2767601,6,2025-01-05 20:00:03.172977,🔥,13,1
2767602,6,2025-01-05 20:00:03.173390,ReactionCustomEmoji(document_id=5965313668353626137),9,1
2767598,6,2025-01-05 20:00:03.171572,ReactionPaid(),1,1
2767611,7,2025-01-05 20:00:03.178299,🤩,2,1
2767612,7,2025-01-05 20:00:03.178741,⚡,1,1
2767607,7,2025-01-05 20:00:03.176427,❤,29,1
2767613,7,2025-01-05 20:00:03.179188,🏆,1,1
2767608,7,2025-01-05 20:00:03.176896,👍,12,1
2767609,7,2025-01-05 20:00:03.177331,🔥,7,1
2767610,7,2025-01-05 20:00:03.177828,ReactionCustomEmoji(document_id=5965442594681918706),4,1
2767606,7,2025-01-05 20:00:03.175962,ReactionPaid(),1,1
2767622,8,2025-01-05 20:00:03.184090,⚡,2,1
2767617,8,2025-01-05 20:00:03.181874,❤,13,1
2767623,8,2025-01-05 20:00:03.184534,❤‍🔥,2,1
2767620,8,2025-01-05 20:00:03.183210,🏆,3,1
2767624,8,2025-01-05 20:00:03.184991,🐳,2,1
2767615,8,2025-01-05 20:00:03.180942,👍,125,1
2767619,8,2025-01-05 20:00:03.182753,💯,4,1
2767616,8,2025-01-05 20:00:03.181394,🔥,29,1
2767621,8,2025-01-05 20:00:03.183650,🦄,3,1
2767625,8,2025-01-05 20:00:03.185407,🆒,2,1
2767618,8,2025-01-05 20:00:03.182322,ReactionCustomEmoji(document_id=5965442594681918706),5,1
2767614,8,2025-01-05 20:00:03.180447,ReactionPaid(),1,1
2767630,9,2025-01-05 20:00:03.188413,❤,4,1
2767633,9,2025-01-05 20:00:03.189877,🏆,1,1
2767629,9,2025-01-05 20:00:03.187993,👍,6,1
2767631,9,2025-01-05 20:00:03.188931,👏,1,1
2767632,9,2025-01-05 20:00:03.189399,💯,1,1
2767628,9,2025-01-05 20:00:03.187528,🔥,13,1
2767634,9,2025-01-05 20:00:03.190325,🆒,1,1
2767627,9,2025-01-05 20:00:03.187065,ReactionCustomEmoji(document_id=5458376419253952849),65,1
2767626,9,2025-01-05 20:00:03.186614,ReactionPaid(),3,1
2767636,10,2025-01-05 20:00:03.191984,❤,42,1
2767640,10,2025-01-05 20:00:03.193853,❤‍🔥,1,1
2767641,10,2025-01-05 20:00:03.194327,🏆,1,1
2767637,10,2025-01-05 20:00:03.192440,👍,22,1
2767638,10,2025-01-05 20:00:03.192919,🔥,20,1
2767642,10,2025-01-05 20:00:03.194832,🦄,1,1
